Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
Q8NR12	RBSA_CORGL	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA Cgl1252 cg1411	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	7.5.2.7	55,917		Cgl1252
Q8NT60	Q8NT60_CORGL	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II	Cgl0450	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		46,380		Cgl0450
Q8NQ44	Q8NQ44_CORGL	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC Cgl1604	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.1.1.36; 6.3.2.5	43,856		Cgl1604
P06557	TRPE_CORGL	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	trpE Cgl3029 cg3359	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.1.3.27	56,384		Cgl3029
P0C1D6	CSP1_CORGL	Protein PS1	csp1 cop1 Cgl2875 cg3182	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		70,674	6SWZ;6SX4;	Cgl2875
Q8NSI6	Q8NSI6_CORGL	Phosphomannomutase (EC 5.4.2.8)	Cgl0687	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.4.2.8	62,580		Cgl0687
Q8NM66	Q8NM66_CORGL	NAD-dependent aldehyde dehydrogenases (EC 1.2.1.39)	Cgl2713	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.2.1.39	55,880		Cgl2713
Q8NT83	Q8NT83_CORGL	ABC-type transporter, permease components	Cgl0427	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		58,105		Cgl0427
Q79VD7	COX1_CORGL	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)	ctaD Cgl2523 cg2780	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	7.1.1.9	65,102	7Q21;	Cgl2523
Q79VJ3	URE1_CORGL	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC Cgl0086 cg0115	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.5.1.5	61,452		Cgl0086
Q8NRD5	Q8NRD5_CORGL	Predicted glycosyltransferases (EC 2.4.1.21)	Cgl1117	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.4.1.21	44,932		Cgl1117
Q8NQC0	PYRD_CORGL	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Cgl1518 cg1713	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.3.5.2	39,561		Cgl1518
Q8NTV0	Q8NTV0_CORGL	Selenocysteine lyase	Cgl0202	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		42,061		Cgl0202
Q8NNN0	MURE_CORGL	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE Cgl2163 cg2374	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.3.2.13	53,862		Cgl2163
Q8NS31	G6PI_CORGL	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi Cgl0851 cg0973	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.3.1.9	59,166		Cgl0851
Q8NQM8	SYY_CORGL	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS Cgl1406 cg1594	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.1.1.1	46,445		Cgl1406
Q8NNV0	Q8NNV0_CORGL	Uncharacterized protein	Cgl2081	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		16,320		Cgl2081
Q8NSL1	PRPC2_CORGL	2-methylcitrate synthase 2 (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase 2) (CS) (EC 2.3.3.16)	prpC2 Cgl0659 cg0762	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.3.3.5; 2.3.3.16	42,595		Cgl0659
Q8NRH0	Q8NRH0_CORGL	ABC-type transporter, duplicated ATPase component	Cgl1079	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		47,797		Cgl1079
Q8NML5	MURA_CORGL	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA Cgl2558 cg2829	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.5.1.7	44,197		Cgl2558
Q8NL58	Q8NL58_CORGL	Thioredoxin	Cgl3091	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		13,638		Cgl3091
Q79VE0	ECTP_CORGL	Ectoine/glycine betaine/proline transporter EctP	ectP Cgl2312	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		67,403		Cgl2312
O68640	METXA_CORGL	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)	metXA metA Cgl0652 cg0754	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.3.1.31	41,178		Cgl0652
P58939	CARB_CORGL	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB Cgl1609 cg1813	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.3.5.5	120,037		Cgl1609
Q8NTQ1	Q8NTQ1_CORGL	Catalase (EC 1.11.1.6)	Cgl0255	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.11.1.6	57,220		Cgl0255
Q8NLD6	Q8NLD6_CORGL	Arabinose efflux permease	Cgl3006	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		40,745		Cgl3006
Q8NM79	IPYR_CORGL	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ppa Cgl2700 cg2988	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.6.1.1	17,905		Cgl2700
Q8NR18	GATC_CORGL	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC Cgl1246 cg1403	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.3.5.-	10,636		Cgl1246
Q8NMG5	Q8NMG5_CORGL	Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (Cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	Cgl2610	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		61,950		Cgl2610
Q8NL85	Q8NL85_CORGL	Predicted dehydrogenases and related proteins	Cgl3063	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		38,023		Cgl3063
Q8NRD6	Q8NRD6_CORGL	Beta-fructosidases (Levanase/invertase) (EC 3.2.1.26)	Cgl1116	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.2.1.26	54,596		Cgl1116
Q8NT79	Q8NT79_CORGL	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	Cgl0431	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.2.1.24	36,793		Cgl0431
P42463	ILVB_CORGL	Acetolactate synthase large subunit (AHAS) (EC 2.2.1.6) (Acetohydroxy-acid synthase large subunit) (ALS)	ilvB Cgl1271 cg1435	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.2.1.6	66,846		Cgl1271
Q8NM99	Q8NM99_CORGL	IMP dehydrogenase/GMP reductase	Cgl2679	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		50,819		Cgl2679
Q8NMD2	Q8NMD2_CORGL	Dihydrodipicolinate synthase/N-acetylneuraminate lyase (EC 4.3.3.7)	Cgl2646	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.3.3.7	32,725	5C54;5C55;	Cgl2646
Q8NTT9	Q8NTT9_CORGL	ABC-type transporter, permease components	Cgl0213	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		25,938		Cgl0213
Q8NU50	Q8NU50_CORGL	Acetolactate synthase (EC 2.2.1.6)	Cgl0097	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.2.1.6	19,860		Cgl0097
Q8NLR1	Q8NLR1_CORGL	Cmt2 (Predicted esterase)	cmt2 Cgl2878	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		37,187		Cgl2878
Q8NSD0	Q8NSD0_CORGL	Phosphomannomutase (EC 5.4.2.8)	Cgl0746	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.4.2.8	48,815		Cgl0746
Q8NTH1	Q8NTH1_CORGL	ABC-type Fe3+-siderophores transport systems, periplasmic components	Cgl0336	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		33,978		Cgl0336
Q8NSY6	Q8NSY6_CORGL	Anaerobic dehydrogenases, typically selenocysteine-containing (EC 1.2.1.2)	Cgl0529	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.2.1.2	78,599		Cgl0529
H7C6C3	H7C6C3_CORGL	Acetyl-CoA carboxylase beta subunit (EC 6.4.1.2)	Cgl0831	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.4.1.2	52,239		Cgl0831
Q8NSM4	NPD_CORGL	NAD-dependent protein deacylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog)	cobB Cgl0644 cg0745	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.3.1.286	28,628		Cgl0644
Q8NQA9	Q8NQA9_CORGL	Methylmalonyl-CoA mutase, N-terminal domain/subunit (EC 5.4.99.2)	Cgl1529	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.4.99.2	80,110		Cgl1529
Q8NSD2	Q8NSD2_CORGL	Uncharacterized protein	Cgl0744	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		17,164		Cgl0744
P19808	DAPA_CORGL	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA Cgl1971 cg2161	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.3.3.7	31,262	3CPR;	Cgl1971
Q8NNG5	Q8NNG5_CORGL	Predicted phosphatases (EC 3.1.3.18)	Cgl2239	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.1.3.18	24,767		Cgl2239
Q8NMB9	ISPF_CORGL	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF Cgl2659 cg2944	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.6.1.12	16,582		Cgl2659
Q8NLU8	Q8NLU8_CORGL	Nitric oxide dioxygenase (EC 1.14.12.17)	Cgl2838	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.14.12.17	42,010		Cgl2838
Q8NRG0	Q8NRG0_CORGL	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	Cgl1089	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.169	31,616		Cgl1089
M9PBB5	M9PBB5_DROME	RNA helicase (EC 3.6.4.13)	vas BG:DS00929.14 CG3506 CG43081 cgt Dmel\CG46283 DmRH25 EP(2)0812 fs(2)ltoRJ36 VAS Vas VASA Vasa CG46283 Dmel_CG46283	Drosophila melanogaster (Fruit fly)	3.6.4.13	72,331		cg3506
Q8NTE0	Q8NTE0_CORGL	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	Cgl0367	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.7.9	32,989		Cgl0367
P07128	KHSE_CORGL	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB Cgl1184 cg1338	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.1.39	32,620	5WAT;	Cgl1184
Q8NQY7	Q8NQY7_CORGL	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cgl1284	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.95	55,302		Cgl1284
Q8NNY6	THIG_CORGL	Thiazole synthase (EC 2.8.1.10)	thiG Cgl2041 cg2239	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.8.1.10	27,249		Cgl2041
Q8NLD0	Q8NLD0_CORGL	Glycine/D-amino acid oxidases (Deaminating)	Cgl3012	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		44,706		Cgl3012
Q8NLX0	Q8NLX0_CORGL	Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase)	cysH Cgl2816	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.8.4.10	25,362		Cgl2816
Q8NS04	Q8NS04_CORGL	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	Cgl0882	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.7.9	31,966		Cgl0882
Q59281	ARGB_CORGL	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB Cgl1396 cg1582	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.2.8	31,090		Cgl1396
Q8NQZ6	Q8NQZ6_CORGL	Uncharacterized protein	Cgl1274	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		22,296		Cgl1274
Q8NSW9	Q8NSW9_CORGL	NAD-dependent aldehyde dehydrogenases	Cgl0546	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		52,323		Cgl0546
P0C1E4	P5CR_CORGL	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC Cgl0410 cg0490	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.5.1.2	28,242		Cgl0410
Q8NTP7	Q8NTP7_CORGL	Hypothetical membrane protein	Cgl0259	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		11,480		Cgl0259
Q8RSU9	ALR_CORGL	Alanine racemase (EC 5.1.1.1)	alr Cgl0588 cg0681	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.1.1.1	39,174	2DY3;	Cgl0588
Q8NR99	Q8NR99_CORGL	NTP pyrophosphohydrolases including oxidative damage repair enzymes (EC 3.6.1.-)	Cgl1153	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.6.1.-	14,641		Cgl1153
Q8NRW1	Q8NRW1_CORGL	ABC-type transporter, periplasmic component	Cgl0930	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		45,566		Cgl0930
Q8NND3	GLMS_CORGL	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS Cgl2271 cg2492	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.6.1.16	67,215		Cgl2271
Q8NS20	Q8NS20_CORGL	Citrate lyase beta subunit (EC 4.1.3.6)	Cgl0862	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.1.3.6	29,731		Cgl0862
Q8NMA8	Q8NMA8_CORGL	Carbonic anhydrase (EC 4.2.1.1)	Cgl2670	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.2.1.1	22,228		Cgl2670
Q8NM50	Q8NM50_CORGL	Multisubunit Na+/H+ antiporter	Cgl2730	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		17,369		Cgl2730
P49973	KAD_CORGL	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk Cgl0556 cg0648	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.4.3	19,427		Cgl0556
Q8NMX2	Q8NMX2_CORGL	PLP-dependent aminotransferases (EC 2.6.1.11)	Cgl2441	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.6.1.11	47,397		Cgl2441
Q8NLD8	Q8NLD8_CORGL	Zinc-type alcohol dehydrogenase-like protein	Cgl3004	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		36,235		Cgl3004
Q8NQN6	SYFB_CORGL	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT Cgl1390 cg1575	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.1.1.20	89,436		Cgl1390
Q8NMD3	Q8NMD3_CORGL	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Cgl2645	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.5.1.25	40,506		Cgl2645
Q8NU08	Q8NU08_CORGL	Acetyltransferases (The isoleucine patch superfamily) (EC 2.3.1.-)	Cgl0143	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.3.1.-	24,126		Cgl0143
Q8NT43	Q8NT43_CORGL	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD Cgl0467	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.2.1.9	57,287		Cgl0467
Q9X5D2	AROB_CORGL	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB Cgl1621 cg1827	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.2.3.4	38,858		Cgl1621
