Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
Q8NMA5	Q8NMA5_CORGL	DUF4236 domain-containing protein	Cgl2673	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		11,551		Cgl2673
Q8NNP8	Q8NNP8_CORGL	ABC-type transporter, periplasmic component	Cgl2140	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		35,484		Cgl2140
Q8NQB4	Q8NQB4_CORGL	ABC-type transporter, ATPase component and permease component	Cgl1524	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		64,025		Cgl1524
Q8NRF7	Q8NRF7_CORGL	Hypothetical membrane protein	Cgl1092	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		14,492		Cgl1092
Q8NTQ1	Q8NTQ1_CORGL	Catalase (EC 1.11.1.6)	Cgl0255	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.11.1.6	57,220		Cgl0255
Q8NPK0	Q8NPK0_CORGL	Hypothetical membrane protein	Cgl1812	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		151,098		Cgl1812
Q8NR18	GATC_CORGL	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC Cgl1246 cg1403	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.3.5.-	10,636		Cgl1246
Q8NPJ5	Q8NPJ5_CORGL	Uncharacterized protein	Cgl1817	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		69,075		Cgl1817
Q8NSA9	Q8NSA9_CORGL	Uncharacterized protein	Cgl0770	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		42,696		Cgl0770
Q8NQ91	Q8NQ91_CORGL	DUF1990 domain-containing protein	Cgl1547	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		18,485		Cgl1547
Q8NR50	Q8NR50_CORGL	Uncharacterized protein	Cgl1214	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		17,940		Cgl1214
Q8NLP4	Q8NLP4_CORGL	Septum_form domain-containing protein	Cgl2895	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		39,198		Cgl2895
Q8NMD2	Q8NMD2_CORGL	Dihydrodipicolinate synthase/N-acetylneuraminate lyase (EC 4.3.3.7)	Cgl2646	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.3.3.7	32,725	5C54;5C55;	Cgl2646
Q8NPA0	Q8NPA0_CORGL	DNA or RNA helicases of superfamily II	Cgl1914	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		62,911		Cgl1914
Q8NNC5	Q8NNC5_CORGL	Predicted transcriptional regulators	Cgl2279	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		13,433		Cgl2279
Q8NPH7	Q8NPH7_CORGL	Hypothetical membrane protein	Cgl1835	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		32,771		Cgl1835
Q8NR85	Q8NR85_CORGL	Esterase/lipase	Cgl1168	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,766		Cgl1168
Q8NT29	RL10_CORGL	50S ribosomal protein L10	rplJ Cgl0485 cg0572	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		17,957		Cgl0485
Q8NTQ8	RECR_CORGL	Recombination protein RecR	recR Cgl0244 cg0298	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		23,656		Cgl0244
Q8NMZ4	Q8NMZ4_CORGL	Uncharacterized protein	Cgl2419	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		16,309		Cgl2419
Q8NSD0	Q8NSD0_CORGL	Phosphomannomutase (EC 5.4.2.8)	Cgl0746	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.4.2.8	48,815		Cgl0746
H7C6C3	H7C6C3_CORGL	Acetyl-CoA carboxylase beta subunit (EC 6.4.1.2)	Cgl0831	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.4.1.2	52,239		Cgl0831
Q8NU12	Q8NU12_CORGL	Probable membrane transporter protein	Cgl0138	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,367		Cgl0138
P19808	DAPA_CORGL	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA Cgl1971 cg2161	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.3.3.7	31,262	3CPR;	Cgl1971
Q8NRG0	Q8NRG0_CORGL	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	Cgl1089	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.169	31,616		Cgl1089
Q8NSV6	RS13_CORGL	30S ribosomal protein S13	rpsM Cgl0561 cg0652	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		13,834		Cgl0561
Q8NTE0	Q8NTE0_CORGL	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	Cgl0367	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.7.9	32,989		Cgl0367
Q8NNA5	Q8NNA5_CORGL	Uncharacterized protein	Cgl2299	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		7,122		Cgl2299
Q8NNX7	TRMD_CORGL	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD Cgl2050 cg2249	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.1.1.228	31,791		Cgl2050
Q8NQY7	Q8NQY7_CORGL	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cgl1284	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.95	55,302		Cgl1284
Q8NS89	Q8NS89_CORGL	Hypothetical membrane protein	Cgl0790	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		12,642		Cgl0790
Q8NPS6	Q8NPS6_CORGL	Uncharacterized protein	Cgl1735	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		7,640		Cgl1735
Q8NQJ9	Q8NQJ9_CORGL	NhaP-type Na+/H+ and K+/H+ antiporters	Cgl1436	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		55,318		Cgl1436
Q8NPB5	Q8NPB5_CORGL	Uncharacterized ACR	Cgl1899	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,025		Cgl1899
Q8NSU7	Q8NSU7_CORGL	Uncharacterized protein	Cgl0570	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		11,117		Cgl0570
Q8NLH8	Q8NLH8_CORGL	Histidine kinase (EC 2.7.13.3)	Cgl2964	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.13.3	42,975		Cgl2964
Q8NL69	Q8NL69_CORGL	Uncharacterized protein	Cgl3080	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		12,254		Cgl3080
Q8NTS9	Q8NTS9_CORGL	Monoamine oxidase (EC 1.4.3.10)	Cgl0223	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.4.3.10	28,092		Cgl0223
Q8NPS3	Q8NPS3_CORGL	Uncharacterized protein	Cgl1738	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		28,240		Cgl1738
Q8NPP0	Q8NPP0_CORGL	Uncharacterized protein	Cgl1771	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		25,769		Cgl1771
Q8NMM1	Q8NMM1_CORGL	ABC-type transporter, permease components	Cgl2552	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		87,367		Cgl2552
Q8NND3	GLMS_CORGL	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS Cgl2271 cg2492	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.6.1.16	67,215		Cgl2271
Q8NL97	Q8NL97_CORGL	Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.-)	Cgl3051	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.-	27,303		Cgl3051
Q8NR74	Q8NR74_CORGL	Uncharacterized protein	Cgl1181	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		22,462		Cgl1181
Q8NS20	Q8NS20_CORGL	Citrate lyase beta subunit (EC 4.1.3.6)	Cgl0862	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.1.3.6	29,731		Cgl0862
Q8NLN4	Q8NLN4_CORGL	DUF5926 domain-containing protein	Cgl2906	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		33,577		Cgl2906
Q8NRK0	Q8NRK0_CORGL	Aldo/keto reductases, related to diketogulonate reductase (EC 1.1.1.218)	Cgl1048	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.218	30,575		Cgl1048
Q8NU76	Q8NU76_CORGL	Hypothetical membrane protein	Cgl0063	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		44,334		Cgl0063
Q8NPA2	Q8NPA2_CORGL	Uncharacterized membrane protein	Cgl1912	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		47,818		Cgl1912
Q8NQG8	Q8NQG8_CORGL	Permeases of the major facilitator superfamily	Cgl1467	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		49,909		Cgl1467
Q8NSZ2	RL5_CORGL	50S ribosomal protein L5	rplE Cgl0523 cg0610	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		21,789		Cgl0523
Q8NMV6	Q8NMV6_CORGL	Hypothetical membrane protein	Cgl2458	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		22,941		Cgl2458
Q8NLD8	Q8NLD8_CORGL	Zinc-type alcohol dehydrogenase-like protein	Cgl3004	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		36,235		Cgl3004
Q8NQN6	SYFB_CORGL	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT Cgl1390 cg1575	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.1.1.20	89,436		Cgl1390
Q8NM15	Q8NM15_CORGL	Uncharacterized protein	Cgl2767	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,214		Cgl2767
Q8NN94	Q8NN94_CORGL	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.14.14.3)	Cgl2311	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.14.14.3	35,675		Cgl2311
Q8NS26	Q8NS26_CORGL	ABC-type transporter, ATPase component	Cgl0856	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		23,461		Cgl0856
Q8NT43	Q8NT43_CORGL	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD Cgl0467	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.2.1.9	57,287		Cgl0467
Q9X5D2	AROB_CORGL	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB Cgl1621 cg1827	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.2.3.4	38,858		Cgl1621
Q8NRP6	Q8NRP6_CORGL	Allophanate hydrolase subunit 2	Cgl1002	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		31,669		Cgl1002
Q8NR43	Q8NR43_CORGL	ABC-type transporter, permease components	Cgl1221	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,790		Cgl1221
Q8NLK6	Q8NLK6_CORGL	Two-component system, sensory transduction histidine kinases	Cgl2937	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		47,176		Cgl2937
Q8NMG3	Q8NMG3_CORGL	Transcriptional regulator	Cgl2612	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		20,259	2YVE;2YVH;2ZOY;2ZOZ;	Cgl2612
Q8NTR3	Q8NTR3_CORGL	Uncharacterized protein	Cgl0239	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		11,376		Cgl0239
Q8NRU1	Q8NRU1_CORGL	Uncharacterized protein	Cgl0950	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		7,924		Cgl0950
Q8NUC3	Q8NUC3_CORGL	Transcriptional regulator	Cgl0016	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		32,211		Cgl0016
Q8NN69	Q8NN69_CORGL	Dicarboxylate-binding periplasmic protein	Cgl2340	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,776		Cgl2340
Q8NRR4	Q8NRR4_CORGL	Putative stress-responsive transcriptional regulator	Cgl0981	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		7,511		Cgl0981
Q8NQF8	Q8NQF8_CORGL	RNA polymerase-binding protein RbpA	rbpA Cgl1477	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		15,234		Cgl1477
Q8NS55	Q8NS55_CORGL	Permeases	Cgl0824	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		50,445		Cgl0824
