cgl_id,Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (RefSeq)
Cgl0052,Q8NU87,Q8NU87_CORGL,"Zn-dependent hydrolases, including glyoxylases",Cgl0052,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599304.1;
Cgl0054,Q8NU85,Q8NU85_CORGL,Rhodanese-related sulfurtransferases,Cgl0054,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599306.1;WP_011013352.1;
Cgl0055,Q8NU84,Q8NU84_CORGL,Rhodanese-related sulfurtransferases,Cgl0055,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599307.1;WP_011013353.1;
Cgl0061,Q8NU78,Q8NU78_CORGL,Mg2+ and Co2+ transporters,Cgl0061,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599313.1;WP_011013358.1;
Cgl0067,Q8NU72,Q8NU72_CORGL,H+/citrate symporter,Cgl0067,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599319.2;
Cgl0068,Q8NU71,Q8NU71_CORGL,Histidine kinase (EC 2.7.13.3),Cgl0068,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599320.1;WP_011013364.1;
Cgl0072,P46396,BIOB_CORGL,Biotin synthase (EC 2.8.1.6),bioB Cgl0072 cg0095,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599324.1;WP_003861135.1;
Cgl0076,Q8NU64,Q8NU64_CORGL,Cytosine deaminase and related metal-dependent hydrolases (EC 3.5.4.21),Cgl0076,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599327.1;WP_011013369.1;
Cgl0080,Q8NU60,Q8NU60_CORGL,Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold (EC 3.1.1.3),Cgl0080,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599332.1;WP_011013373.1;
Cgl0081,Q8NU59,Q8NU59_CORGL,Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold (EC 3.1.1.3),Cgl0081,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599333.1;WP_011013374.1;
Cgl0083,Q8NU57,Q8NU57_CORGL,Transcriptional regulators,Cgl0083,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599335.1;WP_011013376.1;
Cgl0084,Q9RHM6,URE3_CORGL,Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma),ureA Cgl0084 cg0113,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599336.1;WP_003857708.1;
Cgl0085,Q79VJ4,URE2_CORGL,Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta),ureB Cgl0085 cg0114,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599337.1;WP_011013377.1;
Cgl0086,Q79VJ3,URE1_CORGL,Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha),ureC Cgl0086 cg0115,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599338.1;WP_011013378.1;
Cgl0087,Q9RHM3,UREE_CORGL,Urease accessory protein UreE,ureE Cgl0087 cg0116,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599339.1;WP_011013379.1;
Cgl0088,Q79VJ2,UREF_CORGL,Urease accessory protein UreF,ureF Cgl0088 cg0117,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599340.1;WP_011013380.1;
Cgl0089,Q79VJ1,UREG_CORGL,Urease accessory protein UreG,ureG Cgl0089 cg0118,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599341.1;WP_003857703.1;
Cgl0090,Q79VJ0,URED_CORGL,Urease accessory protein UreD,ureD1 Cgl0090 cg0119,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599342.1;WP_011013381.1;
Cgl0095,Q8NU52,Q8NU52_CORGL,AMP nucleosidase (EC 3.2.2.4),amn Cgl0095,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599347.1;
Cgl0097,Q8NU50,Q8NU50_CORGL,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (Cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase] (EC 2.2.1.6)",Cgl0097,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599349.2;WP_011013388.1;
Cgl0099,Q8NU48,Q8NU48_CORGL,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.88) (EC 1.5.5.2),Cgl0099,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599351.1;WP_011013390.1;
Cgl0100,Q8NU47,Q8NU47_CORGL,Predicted oxidoreductases (Related to aryl-alcohol dehydrogenases) (EC 1.1.1.91),Cgl0100,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599352.1;WP_003858893.1;
Cgl0102,Q8NU45,Q8NU45_CORGL,Peptidase M20 domain-containing protein 2,Cgl0102,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599354.1;
Cgl0109,Q8NU38,Q8NU38_CORGL,Mannitol-1-phosphate/altronate dehydrogenases (EC 1.1.1.67),Cgl0109,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599362.1;WP_011013396.1;
Cgl0112,Q8NU35,Q8NU35_CORGL,Xylulose kinase (Xylulokinase) (EC 2.7.1.17),xylB Cgl0112,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599365.1;
Cgl0113,Q9X713,PANC_CORGL,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),panC Cgl0113 cg0148,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599366.1;WP_011013399.1;
Cgl0114,Q9X712,PANB_CORGL,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),panB Cgl0114 cg0149,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599367.1;WP_011013400.1;
Cgl0116,Q8NU33,3MGH_CORGL,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),mag Cgl0116 cg0151,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_694632.1;WP_011265466.1;
Cgl0120,Q8NU29,Q8NU29_CORGL,"Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily (EC 4.2.1.1)",Cgl0120,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599373.1;WP_011013406.1;
Cgl0135,Q9X4N0,PAND_CORGL,Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain],panD Cgl0135 cg0172,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599388.1;WP_003857183.1;
Cgl0143,Q8NU08,Q8NU08_CORGL,Acetyltransferases (The isoleucine patch superfamily) (EC 2.3.1.-),Cgl0143,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599395.1;WP_020948495.1;
Cgl0158,Q8NTZ3,Q8NTZ3_CORGL,"Sugar kinases, ribokinase family (EC 2.7.1.4)",Cgl0158,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599410.1;
Cgl0160,Q8NTZ1,Q8NTZ1_CORGL,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.27),Cgl0160,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599412.1;WP_011013433.1;
Cgl0161,Q8NTZ0,Q8NTZ0_CORGL,Uncharacterized protein,Cgl0161,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599413.1;WP_003862468.1;
Cgl0162,Q8NTY9,Q8NTY9_CORGL,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (Cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",Cgl0162,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599414.1;
Cgl0163,Q8NTY8,Q8NTY8_CORGL,AP_endonuc_2 domain-containing protein,Cgl0163,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599415.1;WP_011013435.1;
Cgl0164,Q8NTY7,IOLG_CORGL,Inositol 2-dehydrogenase (EC 1.1.1.18) (Myo-inositol 2-dehydrogenase) (MI 2-dehydrogenase),iolG Cgl0164 cg0204,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599416.1;WP_011013436.1;
Cgl0172,Q8NTX9,Q8NTX9_CORGL,Sugar phosphate isomerases/epimerases,Cgl0172,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599424.1;WP_011013444.1;
Cgl0178,Q8NTX3,Q8NTX3_CORGL,N-acetyltransferase domain-containing protein,Cgl0178,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599430.1;WP_011013447.1;
Cgl0184,Q8NTW8,Q8NTW8_CORGL,Glutamine 2-oxoglutarate aminotransferase large subunit (EC 1.4.1.13),Cgl0184,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599436.1;WP_011013453.1;
Cgl0185,Q8NTW7,Q8NTW7_CORGL,Glutamine 2-oxoglutarate aminotransferase small subunit (EC 1.4.1.13),Cgl0185,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599437.1;WP_011013454.1;
Cgl0188,Q8NTW4,AFTA_CORGL,Galactan 5-O-arabinofuranosyltransferase (EC 2.4.2.46) (Arabinofuranosyltransferase AftA),aftA Cgl0188 cg0236,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599441.1;
Cgl0202,Q8NTV0,Q8NTV0_CORGL,Selenocysteine lyase,Cgl0202,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599455.1;
Cgl0203,Q8NTU9,Q8NTU9_CORGL,NADPH:quinone reductase and related Zn-dependent oxidoreductases,Cgl0203,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599456.1;WP_011265496.1;
Cgl0205,Q8NTU7,Q8NTU7_CORGL,2Fe-2S ferredoxin-type domain-containing protein,Cgl0205,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599458.1;
Cgl0206,Q8NTU6,Q8NTU6_CORGL,Na+/alanine symporter,Cgl0206,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599459.1;
Cgl0208,Q8NTU4,Q8NTU4_CORGL,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2,Cgl0208,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599461.1;
Cgl0209,Q8NTU3,Q8NTU3_CORGL,"Molybdopterin converting factor, large subunit",Cgl0209,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599462.1;WP_011013473.1;
Cgl0210,Q8NTU2,Q8NTU2_CORGL,Molybdopterin biosynthesis enzymes,Cgl0210,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599463.1;
Cgl0211,Q8NTU1,MOAC_CORGL,Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C),moaC Cgl0211 cg0260,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599464.1;WP_011013475.1;
Cgl0212,Q8NTU0,Q8NTU0_CORGL,Molybdopterin molybdenumtransferase (EC 2.10.1.1),Cgl0212,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599465.1;
Cgl0213,Q8NTT9,Q8NTT9_CORGL,"ABC-type transporter, permease components",Cgl0213,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599466.1;
Cgl0214,Q8NTT8,Q8NTT8_CORGL,"ABC-type transporter, periplasmic component",Cgl0214,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599467.1;WP_011013478.1;
Cgl0218,Q8NTT4,PATR_CORGL,Probable phenylalanine aminotransferase (EC 2.6.1.-),pat Cgl0218 cg0267,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599471.2;WP_011013481.1;
Cgl0222,Q8NTT0,Q8NTT0_CORGL,Zn-dependent alcohol dehydrogenases (EC 1.1.1.1),Cgl0222,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599475.1;WP_011013485.1;
Cgl0224,Q8NTS8,Q8NTS8_CORGL,Magnesium transporter MgtE,Cgl0224,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599477.1;
Cgl0226,Q8NTS6,Q8NTS6_CORGL,Prephenate dehydrogenase,Cgl0226,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599479.1;WP_011013487.1;
Cgl0228,Q8NTS4,Q8NTS4_CORGL,tRNA-specific adenosine deaminase (EC 3.5.4.33),tadA Cgl0228,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599481.1;
Cgl0232,Q8NTS0,Q8NTS0_CORGL,Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase),tgt Cgl0232,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599485.1;
Cgl0234,Q8NTR8,Q8NTR8_CORGL,Uncharacterized protein,Cgl0234,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599487.1;WP_011013491.1;
Cgl0236,Q8NTR6,GLUQ_CORGL,Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-),gluQ Cgl0236 cg0289,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599489.1;WP_011013493.1;
Cgl0240,Q8NTR2,ASPAT_CORGL,Aspartate aminotransferase (AspAT) (EC 2.6.1.1),Cgl0240,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599493.1;
Cgl0242,Q8NTR0,Q8NTR0_CORGL,DNA polymerase III subunit gamma/tau (EC 2.7.7.7),dnaX Cgl0242,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599495.2;WP_011013499.1;
Cgl0243,Q8NTQ9,Y243_CORGL,Nucleoid-associated protein Cgl0243/cg0297,Cgl0243 cg0297,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599496.1;WP_003855676.1;
Cgl0244,Q8NTQ8,RECR_CORGL,Recombination protein RecR,recR Cgl0244 cg0298,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599497.1;WP_011013500.1;
Cgl0245,Q8NTQ7,Q8NTQ7_CORGL,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2),gatD Cgl0245,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599498.1;WP_011013501.1;
Cgl0248,P42455,LEU1_CORGL,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase),leuA Cgl0248 cg0303,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599502.2;WP_015439406.1;
Cgl0250,P42459,Y250_CORGL,Uncharacterized protein Cgl0250/cg0304 (ORFX),Cgl0250 cg0304,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599503.2;WP_011013505.1;
Cgl0251,P26512,AK_CORGL,Aspartokinase (EC 2.7.2.4) (Aspartate kinase),lysC Cgl0251 cg0306,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599504.1;WP_003855724.1;
Cgl0252,P0C1D8,DHAS_CORGL,Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase),asd Cgl0252 cg0307,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599505.1;WP_011013506.1;
Cgl0255,Q8NTQ1,Q8NTQ1_CORGL,Catalase (EC 1.11.1.6),Cgl0255,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599508.1;
Cgl0258,Q8NTP8,Q8NTP8_CORGL,Predicted branched-chain amino acid permease (Azaleucine resistance),Cgl0258,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599511.1;WP_011265510.1;
Cgl0259,Q8NTP7,Q8NTP7_CORGL,Hypothetical membrane protein,Cgl0259,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599512.1;WP_011013513.1;
Cgl0262,Q8NTP4,Q8NTP4_CORGL,Arsenite efflux pump ACR3 and related permeases,Cgl0262,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599515.1;
Cgl0263,P0DKS7,ARSC2_CORGL,Arsenate-mycothiol transferase ArsC2 (EC 2.8.4.2) (Mycothiol-dependent arsenate reductase ArsC2),arsC2 arsX cg0319 Cgl0263,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599516.1;WP_003863342.1;
Cgl0264,Q8NTP2,Q8NTP2_CORGL,Hypothetical membrane protein,Cgl0264,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599517.1;WP_003863340.1;
