NCgl_ID,Cgl_ID,ID,Name,Synonyms,Protein,Strains,Function,Length
NCgl0066,Cgl0067,cg0088,citP,,H+/citrate symporter,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,489
NCgl0067,Cgl0068,cg0089,citA,,Two-component system,,,
NCgl0071,Cgl0072,cg0095,bioB,,Biotin synthase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical-based mechanism.,334
NCgl0075,Cgl0076,cg0104,codA,,Cytosine deaminase and related metal-dependent hydrolases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,415
NCgl0079,Cgl0080,cg0109,,,Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,324
NCgl0080,Cgl0081,cg0110,,,Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,300
NCgl0082,Cgl0083,cg0112,ureR,,Transcriptional regulators,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,171
NCgl0083,Cgl0084,cg0113,ureA,,Urease subunit gamma,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,100
NCgl0084,Cgl0085,cg0114,ureB,,Urease subunit beta,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,162
NCgl0085,Cgl0086,cg0115,ureC,,Urease subunit alpha,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,570
NCgl0086,Cgl0087,cg0116,ureE,,Urease accessory protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly.,157
NCgl0087,Cgl0088,cg0117,ureF,,Urease accessory protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Required for maturation of urease via the functional incorporation of the urease nickel metallocenter.,226
NCgl0088,Cgl0089,cg0118,ureG,,Urease accessory protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis,
NCgl0089,Cgl0090,cg0119,ureD,,Urease accessory protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Probably acts in the maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity). Required for urease expression.,283
NCgl0094,Cgl0095,cg0124,amn,,AMP nucleosidase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the hydrolysis of the N-glycosidic bond of AMP to form adenine and ribose 5-phosphate. Involved in regulation of AMP concentrations.,472
NCgl0096,Cgl0097,cg0127,,,Thiamine pyrophosphate-requiring enzymes [acetolactate synthase,,,
NCgl0098,Cgl0099,cg0129,putA,,NAD-dependent aldehyde dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,1152
NCgl0099,Cgl0100,cg0131,,,Predicted oxidoreductases (Related to aryl-alcohol dehydrogenases),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,315
NCgl0101,Cgl0102,cg0134,,,Peptidase M20 domain-containing protein 2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,444
NCgl0108,Cgl0109,cg0143,mtlB,,Mannitol-1-phosphate/altronate dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,503
NCgl0111,Cgl0112,cg0147,xylB,,Xylulose kinase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,473
NCgl0112,Cgl0113,cg0148,panC,,Pantothenate synthetase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate.,279
NCgl0113,Cgl0114,cg0149,panB,,3-methyl-2-oxobutanoate hydroxymethyltransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the reversible reaction in which hydroxymethyl group from 5,
NCgl0115,Cgl0116,cg0151,mag,,Putative 3-methyladenine DNA glycosylase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,189
NCgl0119,Cgl0120,cg0155,,,Carbonic anhydrases/acetyltransferases,,,
NCgl0133,Cgl0135,cg0172,panD,,Aspartate 1-decarboxylase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine.,136
NCgl0140,Cgl0143,cg0180,maa,,Acetyltransferases (The isoleucine patch superfamily),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,225
NCgl0155,Cgl0158,cg0197,iolC,,Sugar kinases,,,
NCgl0157,Cgl0160,cg0199,msmA,,NAD-dependent aldehyde dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,504
NCgl0158,Cgl0161,cg0201,iolB,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,296
NCgl0159,Cgl0162,cg0202,iolD,,Thiamine pyrophosphate-requiring enzymes [acetolactate synthase,,,
NCgl0160,Cgl0163,cg0203,iolE,,AP_endonuc_2 domain-containing protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,318
NCgl0161,Cgl0164,cg0204,iolG,,Inositol 2-dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Involved in the oxidation of myo-inositol (MI) to 2-keto-myo-inositol (2KMI or 2-inosose).,337
NCgl0169,Cgl0172,cg0212,,,Sugar phosphate isomerases/epimerases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,337
NCgl0175,Cgl0178,cg0220,,,N-acetyltransferase domain-containing protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,142
NCgl0181,Cgl0184,cg0229,gltB,,Glutamine 2-oxoglutarate aminotransferase large subunit,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,1510
NCgl0182,Cgl0185,cg0230,gltD,,Glutamine 2-oxoglutarate aminotransferase small subunit,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,506
NCgl0185,Cgl0188,cg0236,aftA,,Galactan 5-O-arabinofuranosyltransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Involved in the biosynthesis of the arabinogalactan (AG) region of the mycolylarabinogalactan-peptidoglycan (mAGP) complex,
NCgl0199,Cgl0202,cg0250,,,Selenocysteine lyase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,391
NCgl0200,Cgl0203,cg0251,,,NADPH:quinone reductase and related Zn-dependent oxidoreductases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,318
NCgl0202,Cgl0205,cg0253,,,2Fe-2S ferredoxin-type domain-containing protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,99
NCgl0203,Cgl0206,cg0254,,,Na+/alanine symporter,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,492
NCgl0205,Cgl0208,cg0257,,,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,361
NCgl0206,Cgl0209,cg0258,moaE,,Molybdopterin converting factor,,,
NCgl0207,Cgl0210,cg0259,moaB,,Molybdopterin biosynthesis enzymes,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,157
NCgl0208,Cgl0211,cg0260,moaC,,Cyclic pyranopterin monophosphate synthase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the conversion of (8S)-3',
NCgl0209,Cgl0212,cg0261,moeA1,,Molybdopterin molybdenumtransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the insertion of molybdate into adenylated molybdopterin with the concomitant release of AMP.,395
NCgl0210,Cgl0213,cg0262,modB,,ABC-type transporter,,,
NCgl0211,Cgl0214,cg0263,modA,,ABC-type transporter,,,
NCgl0215,Cgl0218,cg0267,pat,,Probable phenylalanine aminotransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),May catalyze the transamination reaction in phenylalanine biosynthesis.,341
NCgl0219,Cgl0222,cg0273,,,Zn-dependent alcohol dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,339
NCgl0221,Cgl0224,cg0275,mgtE2,,Magnesium transporter MgtE,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Acts as a magnesium transporter.,450
NCgl0223,Cgl0226,cg0279,tyrA,,Prephenate dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,340
NCgl0225,Cgl0228,cg0281,tadA,,tRNA-specific adenosine deaminase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2).,139
NCgl0229,Cgl0232,cg0285,tgt,,Queuine tRNA-ribosyltransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GUN anticodons (tRNA-Asp,
NCgl0231,Cgl0234,cg0287,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,360
NCgl0233,Cgl0236,cg0289,gltX,gluQ,Glutamyl-Q tRNA(Asp) synthetase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the tRNA-independent activation of glutamate in presence of ATP and the subsequent transfer of glutamate onto a tRNA(Asp). Glutamate is transferred on the 2-amino-5-(4,
NCgl0237,Cgl0240,cg0294,aspB,,Aspartate transaminase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,432
NCgl0239,Cgl0242,cg0296,dnaZX,dnaX,DNA polymerase III subunit gamma/tau,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),DNA polymerase III is a complex,
NCgl0240,Cgl0243,cg0297,,,Nucleoid-associated protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Binds to DNA and alters its conformation. May be involved in regulation of gene expression,
NCgl0241,Cgl0244,cg0298,recR,,Recombination protein RecR,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO.,218
NCgl0242,Cgl0245,cg0299,cobQ,,Predicted glutamine amidotransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,250
NCgl0245,Cgl0248,cg0303,leuA,,2-isopropylmalate synthase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate).,616
NCgl0246,Cgl0250,cg0304,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,289
NCgl0247,Cgl0251,cg0306,lysC,,Aspartokinase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the phosphorylation of the beta-carboxyl group of aspartic acid with ATP to yield 4-phospho-L-aspartate,
NCgl0248,Cgl0252,cg0307,asd,,Aspartate-semialdehyde dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the NADPH-dependent formation of L-aspartate-semialdehyde (L-ASA) by the reductive dephosphorylation of L-aspartyl-4-phosphate.,344
NCgl0251,Cgl0255,cg0310,katA,,Catalase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,502
NCgl0254,Cgl0258,cg0314,brnF,,Predicted branched-chain amino acid permease (Azaleucine resistance),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,251
NCgl0255,Cgl0259,cg0315,brnE,,Hypothetical membrane protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,108
NCgl0258,Cgl0262,cg0318,arsC1,,Arsenite efflux pump ACR3 and related permeases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,360
NCgl0259,Cgl0263,cg0319,arsX,arsC2,Arsenate-mycothiol transferase ArsC2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Involved in defense against toxic arsenate. Involved in the mycothiol/myoredoxin redox pathway which uses a mycothioltransferase mechanism; facilitates adduct formation between arsenate and mycothiol.,129
NCgl0260,Cgl0264,cg0321,,,Hypothetical membrane protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,106
NCgl0261,Cgl0265,cg0322,,,Hypothetical membrane protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,90
NCgl0262,Cgl0266,cg0323,,,Hypothetical membrane protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,151
NCgl0263,Cgl0267,cg0324,mnhD,,Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter,,,
NCgl0264,Cgl0268,cg0325,,,Multisubunit Na+/H+ antiporter,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,127
NCgl0265,Cgl0269,cg0326,nuoL,,NADH:ubiquinone oxidoreductase subunit 5 (Chain L)/Multisubunit Na+/H+ antiporter,,,
NCgl0272,Cgl0276,cg0334,,,Predicted phosphohydrolases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,305
NCgl0275,Cgl0279,cg0337,whiB4,,Transcriptional regulator WhiB,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Acts as a transcriptional regulator. Probably redox-responsive. The apo- but not holo-form probably binds DNA.,113
NCgl0279,Cgl0284,cg0341,fadD1,,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,512
NCgl0281,Cgl0286,cg0344,fabG1,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,311
NCgl0283,Cgl0288,cg0346,fadE,,Acyl-CoA dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,398
NCgl0284,Cgl0289,cg0347,,,Predicted acyl dehydratase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,157
NCgl0286,Cgl0291,cg0350,glxR,,CRP-like cAMP-activated global transcriptional regulator,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Global transcriptional regulator that complexes with cAMP and binds to specific DNA promoter sites,
NCgl0288,Cgl0293,cg0353,nth,,Endonuclease III,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N-glycosidic bond,
NCgl0290,Cgl0295,cg0355,,,NTP pyrophosphohydrolases including oxidative damage repair enzymes,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,223
NCgl0291,Cgl0296,cg0356,,,Trypsin-like serine proteases,,,
NCgl0292,Cgl0297,cg0358,,,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,331
NCgl0294,Cgl0299,cg0360,,,Phosphoserine phosphatase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,322
NCgl0304,Cgl0309,cg0373,topA,,DNA topoisomerase 1,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Releases the supercoiling and torsional tension of DNA,
NCgl0306,Cgl0311,cg0375,cyaB,,Adenylate cyclase,,,
NCgl0309,Cgl0315,cg0382,,,Adenylate kinase and related kinases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,187
NCgl0313,Cgl0319,cg0387,adhE,,Zn-dependent alcohol dehydrogenases,,,
NCgl0317,Cgl0323,cg0391,rmlB2,,Nucleoside-diphosphate-sugar epimerases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,311
NCgl0319,Cgl0325,cg0394,,,Glycosyltransferases involved in cell wall biogenesis,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,253
NCgl0321,Cgl0327,cg0396,,,Predicted glycosyltransferases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,345
NCgl0322,Cgl0328,cg0397,,,5'-nucleotidase/2',,,
NCgl0324,Cgl0331,cg0400,adhC,,Zn-dependent alcohol dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,353
NCgl0325,Cgl0332,cg0401,rmlA1,,Glucose-1-phosphate thymidylyltransferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the formation of dTDP-glucose,
NCgl0326,Cgl0333,cg0402,rmlCD,,dTDP-4-dehydrorhamnose reductase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes the reduction of dTDP-6-deoxy-L-lyxo-4-hexulose to yield dTDP-L-rhamnose.,453
NCgl0327,Cgl0334,cg0403,rmlB1,,dTDP-glucose 4,,,
NCgl0328,Cgl0335,cg0404,,,Nitroreductase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,193
NCgl0329,Cgl0336,cg0405,,,ABC-type Fe3+-siderophores transport systems,,,
NCgl0336,Cgl0343,cg0413,cmt1,,Cmt1,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,365
NCgl0340,Cgl0347,cg0417,capD,,Predicted nucleoside-diphosphate sugar epimerases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,604
NCgl0342,Cgl0349,cg0419,,,Sugar transferases involved in lipopolysaccharide synthesis,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,204
NCgl0345,Cgl0352,cg0422,murA,,UDP-N-acetylglucosamine enolpyruvyl transferase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,438
NCgl0346,Cgl0353,cg0423,murB,murB1,UDP-N-acetylenolpyruvoylglucosamine reductase 1,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Cell wall formation.,335
NCgl0351,Cgl0360,cg0435,udgA1,,UDP-glucose 6-dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,387
NCgl0355,Cgl0366,cg0441,lpd,,Dihydrolipoyl dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Lipoamide dehydrogenase is an essential component of the pyruvate dehydrogenase (PDH) and 2-oxoglutarate dehydrogenase (ODH) complexes. Catalyzes the reoxidation of dihydrolipoyl groups which are covalently attached to the lipoate acyltransferase components (E2) of the complexes. Also catalyzes a reversible NADH:NAD+ transhydrogenation,
NCgl0356,Cgl0367,cg0442,galU2,,UDP-glucose pyrophosphorylase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,307
NCgl0357,Cgl0368,cg0443,,,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,166
